2026-03-18 21:34:09,307 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 21:34:31,083 | convert | DEBUG | [2026-03-18 21:34:09] [SUCCESS] Результат: 100.0
2026-03-18 21:34:31,083 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 21:34:33,812 | convert | DEBUG | [2026-03-18 21:34:31] [SUCCESS] Результат: EUR
2026-03-18 21:34:33,813 | convert | INFO | [START] Конвертируем called args=(<converters.usd_cny_converter.UsdConverter object at 0x00000233C44AC6E0>, 100.0, 'EUR') kwargs={}
2026-03-18 21:34:33,813 | convert | DEBUG | [2026-03-18 21:34:33] [INPUT] Параметры: (<converters.usd_cny_converter.UsdConverter object at 0x00000233C44AC6E0>, 100.0, 'EUR')
2026-03-18 21:34:33,813 | convert | DEBUG | [2026-03-18 21:34:33] [SUCCESS] Результат: 86.7
2026-03-18 21:35:36,486 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 21:35:39,411 | convert | DEBUG | [2026-03-18 21:35:36] [SUCCESS] Результат: 100.0
2026-03-18 21:35:39,412 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 21:35:52,748 | convert | DEBUG | [2026-03-18 21:35:39] [SUCCESS] Результат: RUB
2026-03-18 21:35:53,307 | convert | INFO | [START] Конвертируем called args=(<converters.usd_cny_converter.UsdConverter object at 0x00000190C207C6E0>, 100.0, 'RUB') kwargs={}
2026-03-18 21:35:53,307 | convert | DEBUG | [2026-03-18 21:35:53] [INPUT] Параметры: (<converters.usd_cny_converter.UsdConverter object at 0x00000190C207C6E0>, 100.0, 'RUB')
2026-03-18 21:35:53,307 | convert | DEBUG | [2026-03-18 21:35:53] [SUCCESS] Результат: 8227.0
2026-03-18 21:36:10,452 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 21:36:14,396 | convert | DEBUG | [2026-03-18 21:36:10] [SUCCESS] Результат: RUB
2026-03-18 21:36:14,396 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 21:36:16,010 | convert | DEBUG | [2026-03-18 21:36:14] [SUCCESS] Результат: 200.0
